Year,West_Bengal_Population_Numbers,CDD,POP_W_CDD
2010,88622660.0,1143.646804066901,1263.7554459603114
2015,94596290.0,929.6453958491018,1026.8770496990253
2020,101023780.0,895.9402744750498,994.3185085209939
2025,107376180.0,1398.985187312837,1604.8919814238118
2030,112278660.0,1256.579397028345,1445.5241280454725
2035,116645380.0,1366.4645634882393,1570.2599496183573
2040,120449230.0,1394.4169606248172,1611.4921445797142
2045,123780070.0,1483.765964350203,1709.5229548915704
2050,126453540.0,1342.7291053110623,1539.0821354041486
2055,128381590.0,1595.7047892860226,1849.6440245562046
2060,129517560.0,1913.5094732335092,2191.6284016403874
2065,129979650.0,1468.8750247801868,1695.7266232765608
2070,129717096.0,1526.6435391844057,1768.08591568914
2075,128738120.0,1723.8609229312765,1985.10821997632
2080,127185660.0,1903.6479570685563,2186.382063445818
2085,125137420.0,1875.835308394089,2134.6831726875716
2090,122674280.0,1614.3270552550014,1871.6515019048893
2095,119806590.0,1651.3531251806123,1901.3955073697696
2100,116743740.0,1621.254891903841,1859.1391091751595
